NO.,DESCRIPTION ,PROJECT,UNIT,HARGA , SUPPLIER
40,MATA BOR ∅10 CARBIDE SECOND,UPE, PCS,"Rp150,000", ELOK TEKNIK
41,KAWAT LAS UMPAN ARGON ∅2.4,DUCTING MUSASHI ASA,KG,"Rp120,000", BORNEO
42,KAWAT LAS STIK STAINLESS NIKKO STEEL ∅2.6,DUCTING MUSASHI ASA,KG,"Rp185,000", BORNEO
43,B COUNTERSINK M5 X   HTM,067/25, PCS,Rp500, BORNEO
44,FITTING DRAT 3/8 X TUB 10,067/25, PCS,"Rp7,000", BORNEO
45,NUT M5 HTM,067/25, PCS,Rp500, SUMBER JAYA
46,PENJEPIT KERTAS BESAR,UPE - OFFICE,PAK,"Rp20,000", LOTUS
47,ENDMILL 10 - 2 FLUTE SECOND,UPE - MACHINING, PCS,"Rp140,000", ELOK TEKNIK
48,CENTER DRILL - BODY ⌀ 10,UPE, PCS,"Rp35,000", ELOK TEKNIK
49,CAT NIPPE BALTIC WHITE,067/25 & 079/25,KLG,"Rp95,000", INDAH JAYA
50,CAT NIPPE SUPER WHITE,067/25 & 079/25,KLG,"Rp95,000", INDAH JAYA
51,THINNER NIPPE ( 1 LTR ),067/25 & 079/25,KLG,"Rp35,000", INDAH JAYA
52,METERAN 7.5 MTR,UPE-FAIZIN, PCS,"Rp130,000", INDAH JAYA
53,"CUTTING 4"" STEEL",UPE, PCS,"Rp2,500", BORNEO
54,"FLAP DISC 4"" TAIYO",UPE, PCS,"Rp8,000", BORNEO
55,"SARUNG TANGAN ABU""",UPE,LSN,"Rp19,000", BORNEO
56,SCOTE BRITE 3M,UPE, PCS,"Rp12,000", BORNEO
57,CARBON BRUSH CB459,UPE,SET,"Rp35,000", BORNEO
58,"Contac tip LAS CO ⌀0,8 mm",UPE,PCS,"Rp10,000", BORNEO
59,L TANAM M8X15 HITAM ,PINTU AIR - ITP, PCS,Rp850, BORNEO
60,SNAP RING LUAR ∅35 ,PINTU AIR - ITP, PCS,"Rp2,500", BORNEO
61,MATERAI 10.000,UPE,PCS,"Rp12,000", GOMBONG DIGITAL
62,MATERAI 10.000,UPE,PCS,"Rp11,000", LOTUS
63,ODNER A4 HITAM - BAMBI,UPE - MANUAL BOOK,PCS,"Rp28,000", LOTUS
64,KERTAS A4 COPYPAPPER,UPE - MANUAL BOOK,RIM,"Rp38,000", LOTUS
65,"POLES 4"" NRS",UPE, PCS,"Rp11,000", BORNEO
66,"ULTRAFLEX 4"" AC",UPE, PCS,"Rp8,000", BORNEO
67,OBAT NYAMUK SMPROTAN KECIL ,UPE, PCS,"Rp17,000", INDO/ALFA
68,NOZLE LAS CO 350A,UPE,PCS,"Rp25,000", BORNEO
69,"LAKBAN KAIN 2"" PUTIH",DQA - ITP,ROLL,"Rp15,000", BORNEO
70,"BULU ROL 4"" KECIL",DQA - ITP, PCS,"Rp8,000", BORNEO
71,"KUAS 2""",DQA - ITP, PCS,"Rp5,000", BORNEO
72,PILOX HITAM DOF,DQA - ITP,KLG,"Rp25,000", INDAH JAYA
73,BAUT ROOFING PANJANG 3CM,DQA - ITP, PCS,Rp350, BORNEO
74,"CAT FTALIT ABU"" - 609",DQA - ITP,KLG,"Rp82,000", INDAH JAYA
75,PLAFON GRC 1X1 mtr,DQA - ITP,LBR,"Rp20,000", INDAH JAYA
76,STIKER CUTTING ANGKA 20X30 cm,DQA - ITP,PCS,"Rp25,000", YUAN STIKER
77,HOLDER MC BUBUT,UPE - MACHINING, PCS,"Rp115,000", TOKOPEDIA
78,MASKER,UPE,BOX,"Rp20,000", BORNEO
79,BISNIS FILE - BIRU,UPE - OFFICE, PCS,"Rp3,000", LOTUS
80,ALAT PEMOTONG RANTAI - MAXPOWER,UPE, PCS,"Rp96,000", BORNEO
81,PENCIL STONE,UPE - CUTTING STOCK,PAK,"Rp15,000", BORNEO
82,AMPLAS BELT,UPE,ROLL,"Rp45,000", BORNEO
83,MATERAI 10.000,UPE,PCS,"Rp11,000", LOTUS
84,CB-459,UPE,SET,"Rp35,000", BORNEO
85,STICKY NOTE,UPE,PAK,"Rp8,000", LOTUS
86,BISNIS FILE A4,UPE,PCS,"Rp3,000", LOTUS
87,"REFIL BULU ROLL 4""",UPE,PCS,"Rp8,000", INDAH JAYA
88,AMPLOP COKLAT F4,UPE,PCS,"Rp10,000", LOTUS
89,SPRAYGUN TABUNG ATAS MEIJI,UPE - PAINTING,SET,"Rp360,000", BORNEO
90,"ULTRAFLEX 4"" AC",UPE - CUTTING TOOLS,PCS,"Rp8,000", BORNEO
91,SABUN SUNLIGHT KECIL,UPE,PCS,"Rp5,000", WARUNG
92,"KAWAT LAS CO - ⌀0,8 - ARTIC",UPE,ROLL,"Rp300,000", BORNEO
